"","Player","Game","Team","Cmp","PassAtt","PassYds","PassTD","PassInt","Sk","YdsLost","PassLng","Rate","RushAtt","RushYds","RushTD","RushLng","Tgt","Rec","RecYds","RecTD","RecLng","Fmb","FL","FirstDPass","FirstDPassPer","IAY","IAYPerPA","CAY","CAYPerCmp","CAYPerPA","PassYAC","YACPerCmp","PassDrops","DropPer","BadThrow","BadPer","Bltz","Hrry","Hits","Prss","PrssPer","Scrm","YdsPerScr","FirstDRush","RushYBC","YBCPerAtt","RushYAC","YACPerAtt","RushBrkTkl","AttPerBr","FirstDRec","RecYBC","YBCPerR","RecYAC","YACPerR","ADOT","RecBrkTkl","RecPerBr","RecDrop","DropPerRec","RecInt","Rat"
"1","Chase Edmonds","202009130sfo","ARI","0","0","0","0","0","0","0","0","","6","26","0","20","5","3","19","1","10","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","20","3.3","6","1.0","1","6.0","1","5","1.7","14","4.7","0.4","0","","0","0.0","0","107.5"
"2","Chris Streveler","202009130sfo","ARI","0","0","0","0","0","0","0","0","","1","3","0","3","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0.0","3","3.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Christian Kirk","202009130sfo","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","5","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","-3","-3.0","3","3.0","14.0","0","","0","0.0","0","39.6"
"4","Dan Arnold","202009130sfo","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","21","0","13","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","3.0","15","7.5","3.0","0","","0","0.0","0","110.4"
"5","Dante Pettis","202009130sfo","SFO","0","0","0","0","0","0","0","0","","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","34.0","0","","0","0.0","0","39.6"
"6","DeAndre Hopkins","202009130sfo","ARI","0","0","0","0","0","0","0","0","","0","0","0","0","16","14","151","0","33","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","84","6.0","67","4.8","6.4","1","14.0","0","0.0","0","106.0"
"7","George Kittle","202009130sfo","SFO","0","0","0","0","0","0","0","0","","1","9","0","9","5","4","44","0","14","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0.0","9","9.0","0","","1","28","7.0","16","4.0","5.2","0","","0","0.0","0","103.3"
"8","Jerick McKinnon","202009130sfo","SFO","0","0","0","0","0","0","0","0","","3","24","0","16","5","3","20","1","9","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","10","3.3","14","4.7","1","3.0","2","3","1.0","17","5.7","5.8","0","","1","20.0","0","108.3"
"9","Jimmy Garoppolo","202009130sfo","SFO","19","33","259","2","0","3","16","76","103.0","1","9","0","9","0","0","0","0","0","0","0","10","27.8","220","6.7","98","5.2","3.0","161","8.5","2","6.1%","11","33.3%","10","1","3","7","18.9%","1","9.0","0","9","9.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Jordan Reed","202009130sfo","SFO","0","0","0","0","0","0","0","0","","0","0","0","0","2","2","12","0","10","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","5","2.5","7","3.5","2.5","0","","0","0.0","0","91.7"
