"","Player","Game","Team","Cmp","PassAtt","PassYds","PassTD","PassInt","Sk","YdsLost","PassLng","Rate","RushAtt","RushYds","RushTD","RushLng","Tgt","Rec","RecYds","RecTD","RecLng","Fmb","FL","FirstDPass","FirstDPassPer","IAY","IAYPerPA","CAY","CAYPerCmp","CAYPerPA","PassYAC","YACPerCmp","PassDrops","DropPer","BadThrow","BadPer","Bltz","Hrry","Hits","Prss","PrssPer","Scrm","YdsPerScr","FirstDRush","RushYBC","YBCPerAtt","RushYAC","YACPerAtt","RushBrkTkl","AttPerBr","FirstDRec","RecYBC","YBCPerR","RecYAC","YACPerR","ADOT","RecBrkTkl","RecPerBr","RecDrop","DropPerRec","RecInt","Rat","fanPts"
"1","A.J. Brown","202109120oti","TEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",4,49,1,"19","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","39","9.8","10","2.5","10.4","0","","0","0.0","0","108.9",14.9
"2","A.J. Green","202109120oti","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",2,25,0,"21","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","24","12.0","1","0.5","8.8","0","","1","16.7","0","47.2",4.5
"3","Amani Hooker","202109120oti","TEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",1,6,0,"6","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4","4.0","2","2.0","4.0","0","","0","0.0","0","91.7",1.6
"4","Anthony Firkser","202109120oti","TEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",3,19,0,"11","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","14","4.7","5","1.7","4.3","0","","0","0.0","0","84.4",4.9
"5","Chase Edmonds","202109120oti","ARI","0","0",0,0,0,"0","0","0","","12",63,0,"16","4",4,43,0,"36","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","57","4.8","6","0.5","0","","1","-12","-3.0","55","13.8","-3.0","0","","0","0.0","0","111.5",14.6
"6","Chester Rogers","202109120oti","TEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",4,62,0,"39","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","41","10.3","21","5.3","10.2","0","","0","0.0","0","100.7",10.2
"7","Christian Kirk","202109120oti","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","5",5,70,2,"26","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","60","12.0","10","2.0","12.0","0","","0","0.0","0","158.3",24
"8","DeAndre Hopkins","202109120oti","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",6,83,2,"38","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","58","9.7","25","4.2","11.3","0","","0","0.0","0","147.4",26.3
"9","Demetrius Harris","202109120oti","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","3",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","8.3","0","","0","0.0","1","0.0",0
"10","Derrick Henry","202109120oti","TEN","0","0",0,0,0,"0","0","0","","17",58,0,"19","4",3,19,0,"8","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","41","2.4","17","1.0","0","","0","2","0.7","17","5.7","1.5","0","","0","0.0","0","84.4",10.7
"11","Geoff Swaim","202109120oti","TEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","11.0","0","","0","0.0","0","39.6",0
"12","James Conner","202109120oti","ARI","0","0",0,0,0,"0","0","0","","16",53,0,"8","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","23","1.4","30","1.9","3","5.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3
"13","Jeremy McNichols","202109120oti","TEN","0","0",0,0,0,"0","0","0","","2",9,0,"8","4",3,24,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","6","3.0","3","1.5","0","","","11","3.7","13","4.3","2.5","0","","0","0.0","0","89.6",6.3
"14","Julio Jones","202109120oti","TEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",3,29,0,"10","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","19","6.3","10","3.3","11.0","1","3.0","0","0.0","1","24.3",5.9
"15","Kyler Murray","202109120oti","ARI","21","32",289,4,1,"2","9","38","121.0","5",20,1,"8","0",0,0,0,"0","0",0,"13","38.2","262","8.2","138","6.6","4.3","151","7.2","1",3.2,"6",19.4,"7","5","2","9",25.7,"1","8.0","2","20","4.0","0","0.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.56
"16","Matthias Farley","202109120oti","TEN","1","1",6,0,0,"0","0","6","91.7","0",0,0,"0","0",0,0,0,"0","0",0,"1","100.0","4","4.0","4","4.0","4.0","2","2.0","0",0,"0",0,"1","0","0","0",0,"0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24
"17","Maxx Williams","202109120oti","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","22.0","0","","0","0.0","0","39.6",0
"18","Mekhi Sargent","202109120oti","TEN","0","0",0,0,0,"0","0","0","","1",2,0,"2","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1.0","1","1.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"19","Nick Westbrook-Ikhine","202109120oti","TEN","0","0",0,0,0,"0","0","0","","0",0,0,"0","2",1,10,0,"10","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7","7.0","3","3.0","8.0","0","","0","0.0","0","64.6",2
"20","Rondale Moore","202109120oti","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","5",4,68,0,"29","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","8","2.0","60","15.0","4.8","1","4.0","0","0.0","0","118.7",10.8
"21","Ryan Tannehill","202109120oti","TEN","21","35",212,1,1,"6","56","39","74.9","2",17,1,"16","0",0,0,0,"0","2",2,"11","26.8","270","7.7","133","6.3","3.8","79","3.8","0",0,"7",20,"12","1","5","12",28.6,"1","16.0","2","14","7.0","3","1.5","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.18
"22","A.J. Green","202109190crd","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",3,44,1,"29","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","30","10.0","14","4.7","8.7","1","3.0","1","16.7","0","113.9",13.4
"23","Adam Thielen","202109190crd","MIN","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",6,39,1,"15","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","19","3.2","20","3.3","4.0","0","","0","0.0","0","129.5",15.9
"24","Alexander Mattison","202109190crd","MIN","0","0",0,0,0,"0","0","0","","3",11,0,"6","1",1,17,0,"17","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","2.0","5","1.7","0","","1","-2","-2.0","19","19.0","-2.0","1","1.0","0","0.0","0","118.7",3.8
"25","Ameer Abdullah","202109190crd","MIN","0","0",0,0,0,"0","0","0","","0",0,0,"0","1",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","0","","0","","4.0","0","","0","0.0","0","39.6",0
"26","Chase Edmonds","202109190crd","ARI","0","0",0,0,0,"0","0","0","","8",46,0,"14","5",5,29,0,"13","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","22","2.8","24","3.0","1","8.0","1","17","3.4","12","2.4","3.4","0","","0","0.0","0","90.8",12.5
"27","Christian Kirk","202109190crd","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",3,65,0,"35","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","61","20.3","4","1.3","23.8","0","","0","0.0","1","77.1",9.5
"28","Dalvin Cook","202109190crd","MIN","0","0",0,0,0,"0","0","0","","22",131,0,"16","3",2,17,0,"14","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","70","3.2","61","2.8","0","","1","0","0.0","17","8.5","-1.7","0","","1","33.3","0","81.2",16.8
"29","DeAndre Hopkins","202109190crd","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",4,54,1,"16","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","41","10.3","13","3.3","10.3","0","","0","0.0","0","158.3",15.4
"30","James Conner","202109190crd","ARI","0","0",0,0,0,"0","0","0","","8",26,0,"9","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","11","1.4","15","1.9","1","8.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6
"31","Justin Jefferson","202109190crd","MIN","0","0",0,0,0,"0","0","0","","0",0,0,"0","10",6,65,1,"14","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","48","8.0","17","2.8","12.4","0","","2","20.0","0","112.5",18.5
"32","K.J. Osborn","202109190crd","MIN","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",5,91,1,"64","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","49","9.8","42","8.4","7.8","0","","0","0.0","0","158.3",20.1
"33","Kirk Cousins","202109190crd","MIN","22","32",244,3,0,"1","2","64","122.4","2",35,0,"29","0",0,0,0,"0","1",0,"10","30.3","203","6.3","111","5.0","3.5","133","6.0","3",9.4,"3",9.4,"17","2","4","7",20,"2","17.5","2","33","16.5","2","1.0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.26
"34","Kyler Murray","202109190crd","ARI","29","36",400,3,2,"3","29","77","117.6","5",31,1,"12","0",0,0,0,"0","0",0,"16","41.0","296","8.2","209","7.2","5.8","191","6.6","1",2.9,"1",2.9,"6","6","0","9",22,"2","7.5","2","28","5.6","3","0.6","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1
"35","Maxx Williams","202109190crd","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","7",7,94,0,"34","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","37","5.3","57","8.1","5.3","0","","0","0.0","0","118.7",16.4
"36","Rondale Moore","202109190crd","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",7,114,1,"77","1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","23","3.3","91","13.0","3.6","1","7.0","0","0.0","1","118.7",24.4
"37","Tyler Conklin","202109190crd","MIN","0","0",0,0,0,"0","0","0","","0",0,0,"0","4",2,15,0,"9","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","-3","-1.5","18","9.0","1.8","0","","0","0.0","0","59.4",3.5
"38","A.J. Green","202109260jax","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",5,112,0,"36","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","97","19.4","15","3.0","17.7","0","","0","0.0","0","118.7",16.2
"39","Carlos Hyde","202109260jax","JAX","0","0",0,0,0,"0","0","0","","8",44,0,"18","0",0,0,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","12","1.5","32","4.0","1","8.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4
"40","Chase Edmonds","202109260jax","ARI","0","0",0,0,0,"0","0","0","","11",26,0,"7","8",7,49,0,"12","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","11","1.0","15","1.4","0","","1","-4","-0.6","53","7.6","0.8","1","7.0","0","0.0","0","92.2",14.5
"41","Christian Kirk","202109260jax","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","8",7,104,0,"33","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","67","9.6","37","5.3","13.9","0","","0","0.0","1","79.2",17.4
"42","DeAndre Hopkins","202109260jax","ARI","0","0",0,0,0,"0","0","0","","0",0,0,"0","6",3,21,0,"8","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","9","3.0","12","4.0","6.0","0","","0","0.0","0","58.3",5.1
