Player,Pos,PassYds,PassTD,PassInt,RushYds,RushTD,Rec,RecYds,RecTD,FL,fanPts,MSE
Lamar Jackson,QB,190,2,0,74,1,1,0,0,0,30.000000000000004,121.60538181818187
Christian McCaffrey,RB,1,0,0,76,1,6,65,0,0,26.14,151.05817142857143
Kyler Murray,QB,259,2,1,72,0,1,0,0,0,25.56,67.3552888888889
Patrick Mahomes,QB,306,2,0,29,0,1,0,0,0,24.14,98.37873333333334
Russell Wilson,QB,261,2,0,42,0,1,0,0,0,23.639999999999997,87.11782222222217
Josh Allen,QB,266,2,0,28,0,1,1,0,0,22.540000000000003,71.4016
Dak Prescott,QB,334,2,1,10,0,1,1,0,0,22.46,67.77287272727273
Travis Kelce,WR,0,0,0,1,0,7,93,1,0,22.4,87.56666666666665
Gardner Minshew II,QB,250,2,0,28,0,1,0,0,0,21.8,232.685
Derek Carr,QB,264,2,0,19,0,1,0,0,0,21.46,45.449433333333346
Aaron Rodgers,QB,273,2,0,15,0,1,0,0,0,21.42,62.46978181818182
Alvin Kamara,RB,1,0,0,50,1,6,42,0,0,21.24,68.0101
Ryan Fitzpatrick,QB,261,2,1,28,0,1,0,0,0,21.24,421.0704
Kirk Cousins,QB,258,2,0,19,0,1,0,0,0,21.22,29.378166666666665
Aaron Jones,RB,1,0,0,87,1,3,34,0,0,21.14,154.0563272727273
Ryan Tannehill,QB,238,2,0,23,0,1,0,0,0,20.82,35.57613333333334
Jared Goff,QB,270,2,0,10,0,1,0,0,0,20.8,103.89494545454546
Dalvin Cook,RB,1,0,0,92,1,3,25,0,0,20.740000000000002,51.4864888888889
Tom Brady,QB,285,2,0,1,0,1,0,0,0,20.5,71.35026666666667
Matt Ryan,QB,287,2,1,9,0,1,0,0,0,20.38,102.36956666666666
Derrick Henry,RB,1,0,0,119,1,1,9,0,0,19.84,181.85135000000002
David Montgomery,RB,1,0,0,76,1,3,30,0,0,19.64,78.20960000000001
Matthew Stafford,QB,265,2,1,10,0,1,0,0,0,19.6,27.18716666666666
