Player,Cmp,PassAtt,PassYds,PassTD,PassInt,Sk,YdsLost,PassLng,Rate,RushAtt,RushYds,RushTD,RushLng,Tgt,Rec,RecYds,RecTD,RecLng,Fmb,FL,FirstDPass,FirstDPassPer,IAY,IAYPerPA,CAY,CAYPerCmp,CAYPerPA,PassYAC,YACPerCmp,PassDrops,DropPer,BadThrow,BadPer,Bltz,Hrry,Hits,Prss,PrssPer,Scrm,YdsPerScr,FirstDRush,RushYBC,YBCPerAtt,RushYAC,YACPerAtt,RushBrkTkl,AttPerBr,FirstDRec,RecYBC,YBCPerR,RecYAC,YACPerR,ADOT,RecBrkTkl,RecPerBr,RecDrop,DropPerRec,RecInt,Rat
A.J. Brown,0,0,0,0,0,0,0,0,NA,0.11764705882352941,2.764705882352941,0.058823529411764705,2.764705882352941,6.117647058823529,4.0588235294117645,74.41176470588235,0.5882352941176471,34.76470588235294,0.058823529411764705,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,1,22.5,22.5,0.5,1,3.3529411764705883,41,11.341176470588236,33.411764705882355,8.435294117647059,12.076470588235294,0.7647058823529411,3.5166666666666666,0.11764705882352941,2.311764705882353,0.11764705882352941,113.59411764705882
A.J. Green,0,0,0,0,0,0,0,0,NA,0,0,0,0,7.294117647058823,4.0588235294117645,54.11764705882353,0.29411764705882354,18.647058823529413,0.11764705882352941,0.058823529411764705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.333333333333333,42.35294117647059,10.269230769230768,11.764705882352942,3.0076923076923077,11.994117647058824,0.11764705882352941,6,0.4117647058823529,5.923529411764705,0.23529411764705882,80.22941176470589
Aaron Jones,0,0,0,0,0,0,0,0,NA,14,72.05882352941177,0.7647058823529411,23.705882352941178,3.6470588235294117,2.7058823529411766,18.11764705882353,0.058823529411764705,9.647058823529411,0.17647058823529413,0.058823529411764705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6470588235294117,40,2.735294117647059,32.05882352941177,2.264705882352941,0.7647058823529411,11.1625,0.75,-0.6875,-0.20714285714285716,19.9375,6.392857142857142,1.5,0.25,2.6666666666666665,0.25,10.10625,0,79.51875
Aaron Rodgers,23.705882352941178,37.470588235294116,284.8235294117647,2.411764705882353,0.29411764705882354,1.588235294117647,12.411764705882353,43.76470588235294,106.5764705882353,2.2941176470588234,11.882352941176471,0,6.090909090909091,0,0,0,0,0,0.29411764705882354,0.11764705882352941,13.470588235294118,34.91764705882353,333,8.776470588235293,152.64705882352942,6.452941176470588,4.1117647058823525,132.1764705882353,5.58235294117647,1.588235294117647,4.770588235294118,6.882352941176471,19.123529411764707,11.058823529411764,3.823529411764706,2.5294117647058822,7.9411764705882355,19.2,1.6470588235294117,7.3307692307692305,0.8125,10.75,4.35625,1.875,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Humphries,0,0,0,0,0,0.058823529411764705,0,0,NA,0.058823529411764705,0.4117647058823529,0,0.4117647058823529,5,3.6470588235294117,36.11764705882353,0.47058823529411764,16.764705882352942,0.058823529411764705,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,7,0,0,0,NA,2.25,20.352941176470587,6.9625,15.764705882352942,4.3,8.729411764705882,0.058823529411764705,8,0.17647058823529413,2.041176470588235,0,102.03529411764706
Adam Shaheen,0,0,0,0,0,0,0,0,NA,0,0,0,0,1.7647058823529411,1.1764705882352942,10.588235294117647,0.17647058823529413,8.235294117647058,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2857142857142858,4.588235294117647,4.007692307692308,6,4.3,4.41764705882353,0.29411764705882354,1.4333333333333333,0,0,0,81.10588235294118
Adam Thielen,0,0,0,0,0,0,0,0,NA,0.29411764705882354,0.9411764705882353,0.058823529411764705,0.9411764705882353,7.705882352941177,5.529411764705882,70.6470588235294,0.6470588235294118,28.529411764705884,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1.8,1.8,1.4,1.4,0.2,1,3.4705882352941178,46.76470588235294,8.964705882352941,23.88235294117647,4.458823529411765,11.052941176470588,0.29411764705882354,4,0.23529411764705882,3.9176470588235293,0.11764705882352941,111.23529411764706
Adrian Peterson,0,0,0,0,0,0,0,0,NA,13.705882352941176,62.411764705882355,0.4117647058823529,18.705882352941178,1.7647058823529411,1.1764705882352942,7.882352941176471,0.058823529411764705,6.588235294117647,0.11764705882352941,0.11764705882352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0625,31.705882352941178,2.041176470588235,30.705882352941178,2.152941176470588,1,10.311111111111112,0.4666666666666667,-2.0625,-1.7333333333333334,10.4375,9.358333333333334,-1.95,0.375,1.125,0.1875,15.625,0,79.2625
Albert Wilson,0.11764705882352941,0.17647058823529413,4.235294117647059,0.058823529411764705,0,0.058823529411764705,0.5882352941176471,4.235294117647059,121.85000000000001,0.6470588235294118,3.823529411764706,0,3.625,4.764705882352941,3.5294117647058822,33.76470588235294,0.17647058823529413,16.8125,0,0,1,75,19.5,14.5,8,8,8.75,28,28,0,0,0.5,25,1,0,0,0,0,0,NA,0.42857142857142855,5.285714285714286,3.4285714285714284,4,2.2857142857142856,0.14285714285714285,2,1.8125,12,3.3941176470588235,21.764705882352942,7.029411764705882,6.6,0.17647058823529413,4.666666666666667,0.17647058823529413,2.5588235294117645,0.11764705882352941,86.98823529411764
Alec Ingold,0,0,0,0,0,0,0,0,NA,0.5882352941176471,1.1176470588235294,0,1.1176470588235294,1.1176470588235294,0.8235294117647058,6.352941176470588,0.11764705882352941,5.705882352941177,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.9,1,1,0,NA,1.25,2.6,1.7555555555555555,8.2,6.222222222222222,2.74,0.1,1,0.2,6.67,0,88.49
